id;type;capacity;latitude;longitude;city_id
128;traditional;8;46.0674369;11.1271663;1
84;frame lock;24;46.0552038;11.1195077;1
411;traditional;7;46.0064853;11.1308479;1
136;traditional;10;46.0646314;11.1289357;1
151;frame lock;3;46.0676037;11.1280945;1
152;frame lock;3;46.0676675;11.1281580;1
448;traditional;6;46.0492300;11.1328149;1
449;traditional;6;46.0492607;11.1328200;1
160;frame lock;9;46.0635362;11.1179856;1
447;traditional;5;46.0492000;11.1328093;1
450;traditional;5;46.0493135;11.1328340;1
129;traditional;8;46.0672813;11.1271346;1
153;frame lock;6;46.0671856;11.1285315;1
127;frame lock;12;46.0696312;11.1280212;1
409;frame lock;10;46.0062679;11.1297666;1
156;traditional;12;46.0669345;11.1150446;1
413;traditional;7;46.0074976;11.1294997;1
161;frame lock;15;46.0600569;11.1145898;1
412;traditional;7;46.0074788;11.1294943;1
166;frame lock;5;46.0606419;11.1141088;1
131;traditional;20;46.0671067;11.1261805;1
132;traditional;12;46.0660381;11.1247392;1
133;traditional;10;46.0654996;11.1256611;1
134;traditional;4;46.0654835;11.1257226;1
130;frame lock;12;46.0671799;11.1276312;1
414;traditional;7;46.0082320;11.1297640;1
435;traditional;5;46.0373643;11.1106488;1
