id;access;fee;capacity;type;latitude;longitude;city_id
way/230190551;customers;no;-1;street_side;46.0473178;11.1316344;1
way/230190552;customers;no;-1;street_side;46.047331;11.1320793;1
way/230192210;customers;no;-1;street_side;46.0472765;11.1313581;1
way/234540395;public;no;20;surface;46.0025854;11.1288415;1
way/250533524;public;no;-1;surface;46.0671769;11.1656759;1
way/256064896;public;no;-1;surface;46.1313923;11.1345564;1
way/256131678;public;no;-1;surface;46.1339826;11.1358725;1
way/263636338;customers;no;-1;street_side;46.0633262;11.1195556;1
way/263636339;customers;no;-1;surface;46.0630119;11.1196732;1
way/263636341;customers;no;-1;surface;46.0634824;11.12096;1
way/263636343;customers;no;-1;surface;46.0634193;11.119878;1
node/266156643;customers;no;-1;street_side;46.0738909;11.150734;1
way/268278343;customers;no;-1;surface;46.0674907;11.1248727;1
way/268460170;public;yes;-1;surface;46.0637888;11.1168527;1
way/268460172;public;yes;250;surface;46.0650122;11.1163063;1
node/276691077;public;no;4;surface;46.0117962;11.1054751;1
way/281770091;customers;no;-1;surface;46.0642928;11.110532;1
way/284520203;customers;no;36;street_side;46.0618046;11.1207643;1
way/285811808;customers;no;-1;surface;46.0890875;11.1091217;1
way/289415061;customers;no;19;street_side;46.0609676;11.1210861;1
way/292467213;public;no;-1;surface;46.0832628;11.1141127;1
way/293396883;public;no;-1;surface;46.0531939;11.1356844;1
way/293967923;customers;no;-1;surface;46.0850513;11.1199413;1
way/293967924;customers;no;-1;surface;46.0700522;11.1162155;1
way/307364531;permissive;no;-1;surface;46.0406735;11.1120401;1
way/323967728;public;no;-1;surface;46.0994457;11.1093682;1
way/342403352;public;no;8;surface;46.081344;11.1548802;1
way/353807035;customers;no;-1;surface;46.0937126;11.1007542;1
way/365685692;public;no;-1;surface;46.1062088;11.1107473;1
way/374579322;public;no;-1;surface;46.0889172;11.0652503;1
way/374579323;public;no;-1;surface;46.0950803;11.0723232;1
way/375769301;customers;no;37;surface;46.0207797;11.1273985;1
way/375769441;public;no;155;surface;46.0335825;11.1257597;1
way/378138363;public;no;-1;surface;46.0515219;11.132644;1
way/378576122;public;no;-1;surface;46.0745208;11.1440748;1
way/378576130;public;no;-1;surface;46.0748221;11.143958;1
way/382623934;customers;no;-1;surface;46.0356136;11.1353611;1
way/382630161;public;no;-1;street_side;46.0413575;11.1338967;1
way/382630162;public;no;-1;street_side;46.0414262;11.1339923;1
way/382958543;public;no;-1;surface;46.0690939;11.1496786;1
way/385084119;public;no;-1;surface;46.1317952;11.1342972;1
way/385279887;public;yes;-1;surface;46.0711811;11.1169711;1
way/385279888;public;yes;-1;surface;46.0711015;11.1169244;1
way/386459665;customers;no;-1;surface;46.1134325;11.1073834;1
way/386937560;customers;no;-1;surface;46.0855524;11.1177254;1
way/391252376;destination;no;40;surface;46.0669215;11.1490134;1
way/396676180;customers;no;-1;surface;46.1027848;11.1102703;1
way/414915068;public;yes;-1;surface;46.0573477;11.1344618;1
way/417380195;public;no;-1;surface;46.0650967;11.158648;1
way/417380208;public;no;-1;surface;46.0657816;11.1547039;1
way/417380218;public;no;-1;surface;46.0651816;11.1548606;1
way/421806747;public;no;-1;surface;46.0653474;11.1542954;1
way/423840184;public;no;141;surface;46.034666;11.1271541;1
way/426586915;public;yes;-1;surface;46.0713269;11.1167072;1
way/426594825;public;no;-1;surface;46.0436198;11.1221043;1
way/436470567;public;interval;40;surface;46.0651306;11.1312776;1
way/449043525;customers;no;-1;street_side;46.0918988;11.1074487;1
way/453534191;customers;no;-1;street_side;46.0914345;11.1078496;1
way/460782720;public;yes;460;underground;46.0651487;11.1240623;1
way/462617684;customers;no;-1;surface;46.0509809;11.1124301;1
way/462617685;customers;no;-1;surface;46.0512383;11.1120431;1
way/465283080;customers;no;-1;surface;46.0888853;11.0629573;1
way/479463806;public;no;-1;surface;46.0647206;11.153565;1
way/484941584;permissive;no;5;street_side;46.0915043;11.1052045;1
way/494167206;permissive;no;10;street_side;46.0871448;11.1075659;1
way/494167207;permissive;no;10;street_side;46.087409;11.1077948;1
way/517538455;public;no;-1;surface;46.0970943;11.1139689;1
way/528754550;customers;no;-1;surface;46.078454;11.1180994;1
way/541559726;customers;no;-1;surface;46.0715838;11.1088294;1
way/567544349;customers;no;-1;surface;46.070786;11.0542121;1
way/572460508;public;no;-1;surface;46.0907119;11.1088391;1
way/577383822;public;no;8;surface;46.0684217;11.160992;1
node/583525833;public;no;-1;street_side;46.0742805;11.1351044;1
