WKT;id;zona;tipologia;n_posti;fumetto;anno;nr_moduli;tot_bici;foto;codice_via;civico;barra;edificio;Tipo_generale;categoria
"LINESTRING (664381.408046091 5103164.11109483,664382.839855758 5103164.6838187)";"269";S. GIUSEPPE_S. CHIARA;Archetto;"2";;"2022";"4";"8";269.jpg;"2370";"1";;COMMISSARIATO DEL GOVERNO;Rastr_bloccatelaio;
"LINESTRING (664188.073030555 5103467.0734639,664195.80274537 5103468.13718612)";"43";S. GIUSEPPE_S.CHIARA;Metallo 5 posti;"5";VIA AL TORRIONE - nr. posti 15;"2022";"3";"15";43.jpg;"3320";"14";;UFFICI COMUNALI;Rastr_tradizionale;
"LINESTRING (664066.783946265 5102162.78269055,664067.591025152 5102157.98769245)";"82";S. GIUSEPPE_S. CHIARA;Bronzetti 5 posti;"5";;"2022";"2";"10";82.jpg;"2880";"103";;"SCUOLA PRIMARIA ""D. SAVIO""";Rastr_tradizionale;SCUOLA
"LINESTRING (664254.414524774 5104007.98122195,664259.981217545 5104010.57586689)";"12";ZTL;Metallo 4 posti;"4";VIA G. MANCI - nr. posti 12;"2022";"3";"12";12.jpg;"1700";"72";;;Rastr_tradizionale;
"LINESTRING (664071.768845274 5102149.20477515,664078.035575457 5102149.91690358)";"83";S. GIUSEPPE_S. CHIARA;Archetto;"2";;"2022";"15";"30";83.jpg;"2880";"103";;"SCUOLA PRIMARIA ""D. SAVIO""";Rastr_bloccatelaio;SCUOLA
"LINESTRING (663906.21684001 5106056.22029933,663909.126454307 5106056.92804335)";"329";CENTRO STORICO_PIEDICASTELLO;Bronzetti 7 posti;"7";;"2022";"1";"7";329.jpg;"3150";"22";;"SCUOLA PRIMARIA ""A. GORFER""";Rastr_tradizionale;SCUOLA
"LINESTRING (659328.406588278 5104251.16993474,659328.770155062 5104251.12894469)";"403";SOPRAMONTE;Androna;"5";;"2023";"1";"5";403.JPG;"8072";"1";;"SCUOLA PRIMARIA ""S. PERTINI""";Rastr_tradizionale;SCUOLA
"LINESTRING (665774.087564519 5104621.34492364,665774.033693049 5104619.67490806)";"418";COGNOLA;Archetto;"2";;"2023";"4";"8";418.JPG;"7686";"2";"2";"SCUOLA PRIMARIA ""E. BERNARDI""";Rastr_bloccatelaio;SCUOLA
"LINESTRING (664244.826249843 5103736.23854161,664245.461249844 5103728.3010416)";"23";ZTL;Metallo 3 posti;"3";PIAZZA DELLE ERBE - nr. posti 18;"2022";"6";"18";23.jpg;"1070";"1";;;Rastr_tradizionale;
"LINESTRING (664076.916924094 5103952.77757287,664077.142915907 5103948.70972023)";"7";ZTL;Metallo 4 posti;"4";VIA R. BELENZANI - nr. posti 4;"2022";"1";"4";7.jpg;"240";"3";;UFFICI COMUNALI PALAZZO THUN;Rastr_tradizionale;
