id;type;capacity;latitude;longitude
99;tradizionale;8;46.0626015;11.1319365
52;bloccatelaio;6;46.0636405;11.1190583
55;bloccatelaio;12;46.0707829;11.1212475
45;bloccatelaio;15;46.0649250;11.1230612
53;bloccatelaio;10;46.0629722;11.1189131
201;tradizionale;6;46.0522160;11.1340910
337;tradizionale;24;46.0687882;11.1193047
211;bloccatelaio;6;46.0702936;11.1135763
19;bloccatelaio;4;46.0680701;11.1253750
27;bloccatelaio;10;46.0678181;11.1234974
35;tradizionale;52;46.0666305;11.1193604
36;tradizionale;36;46.0666903;11.1199211
162;bloccatelaio;14;46.0596778;11.1152934
163;bloccatelaio;10;46.0596696;11.1150809
44;bloccatelaio;5;46.0650096;11.1230421
